topic,ai_known_title,ai_known_channel,status
Building an 8-bit Computer,8-bit Computer,Ben Eater,DONE
ALU Design,ALU Design,Ben Eater,DONE
Static RAM vs Dynamic RAM,SRAM vs DRAM,Ben Eater,DONE
Energy Bands and Semiconductors,Energy Bands Semiconductors,Neso Academy,DONE
PN Junction Diode Physics,PN Junction,Neso Academy,DONE
Bipolar Junction Transistor (BJT) Operation,BJT Operation,Neso Academy,DONE
MOSFET Structure and Operation,MOSFET Operation,Neso Academy,DONE
CMOS Inverter,CMOS Inverter,Neso Academy,DONE
Zener Diodes and Voltage Regulation,Zener Diode,Neso Academy,DONE
Schottky Diodes,Schottky Diode,All About Electronics,DONE
Early Effect in BJTs,Early Effect BJT,Razavi Electronics,DONE
Channel Length Modulation in MOSFETs,Channel Length Modulation,Razavi Electronics,DONE
IGBT Structure and Operation,IGBT Operation,All About Electronics,DONE
Diode Rectifier Circuits,Diode Rectifiers,Neso Academy,DONE
Diode Clippers and Clampers,Diode Clippers,Neso Academy,DONE
BJT Common Emitter Amplifier,Common Emitter Amplifier,Razavi Electronics,DONE
BJT Common Collector and Common Base,Common Collector Amplifier,Razavi Electronics,DONE
MOSFET Common Source Amplifier,Common Source Amplifier,Razavi Electronics,DONE
Current Mirrors,Current Mirrors,Razavi Electronics,DONE
Differential Amplifiers,Differential Amplifiers,Razavi Electronics,DONE
Cascode Amplifiers,Cascode Amplifiers,Razavi Electronics,DONE
High Frequency Response of Amplifiers,High Frequency Response Amplifier,Razavi Electronics,DONE
Feedback Topologies in Amplifiers,Feedback Amplifiers,Razavi Electronics,DONE
Barkhausen Criterion for Oscillators,Barkhausen Criterion,Razavi Electronics,DONE
555 Timer IC,555 Timer,Ben Eater,DONE
Continuous and Discrete Time Signals,Continuous and Discrete Time Signals,Neso Academy,DONE
Linear Time-Invariant (LTI) Systems,LTI Systems,Neso Academy,DONE
Convolution Integral,Convolution Integral,Neso Academy,DONE
Convolution Sum (Discrete Time),Convolution Sum,Neso Academy,DONE
Fourier Series Representation,Fourier Series,Neso Academy,DONE
Continuous-Time Fourier Transform (CTFT),Continuous Time Fourier Transform,Neso Academy,DONE
Discrete-Time Fourier Transform (DTFT),Discrete Time Fourier Transform,Neso Academy,DONE
Region of Convergence in Z-Transform,Introduction to Z-Transform,Neso Academy,DONE
Nyquist-Shannon Sampling Theorem,Sampling Theorem,Neso Academy,DONE
Aliasing and Anti-Aliasing Filters,Aliasing in Signal Processing,Neso Academy,DONE
Parseval's Theorem,Parseval's Theorem,Neso Academy,DONE
Discrete Fourier Transform (DFT),Discrete Fourier Transform DFT,Iain Explains Signals,DONE
Fast Fourier Transform (FFT) Algorithm,Fast Fourier Transform FFT,Iain Explains Signals,DONE
Finite Impulse Response (FIR) Filters,FIR Filters,Iain Explains Signals,DONE
Infinite Impulse Response (IIR) Filters,IIR Filters,Iain Explains Signals,DONE
Windowing in DSP,Windowing in DSP,Iain Explains Signals,DONE
Bilinear Transform in DSP,Bilinear Transform,Iain Explains Signals,DONE
Quantization and Quantization Noise,Quantization Noise,Iain Explains Signals,DONE
Oversampling and Decimation,Oversampling and Decimation,Iain Explains Signals,DONE
Open Loop vs Closed Loop Systems,Open and Closed Loop Control,Brian Douglas,DONE
Transfer Functions and Block Diagrams,Transfer Functions,Brian Douglas,DONE
Block Diagram Reduction,Introduction to Block Diagrams,Neso Academy,DONE
Transient Response Specifications,Transient Response Specifications,Brian Douglas,DONE
Routh-Hurwitz Stability Criterion,Routh Hurwitz Stability Criterion,Brian Douglas,DONE
Root Locus Method,Root Locus,Brian Douglas,DONE
Bode Plots for Stability,Bode Plots Stability,Brian Douglas,DONE
Nyquist Stability Criterion,Nyquist Stability Criterion,Brian Douglas,DONE
Gain and Phase Margins,Gain and Phase Margin,Brian Douglas,DONE
PID Controller Design,PID Control - A brief introduction,Brian Douglas,DONE
Lead and Lag Compensators,Lead Lag Compensator,Brian Douglas,DONE
State Space Representation,State Space Control,Brian Douglas,DONE
Transmission Lines Telegrapher's Equations,Transmission Lines,Physics Videos by Eugene Khutoryansky,DONE
Voltage Standing Wave Ratio (VSWR),VSWR,All About Electronics,DONE
The Smith Chart,Smith Chart,All About Electronics,DONE
Impedance Matching,Impedance Matching,All About Electronics,DONE
Dipole Antennas,Electric Potential: Visualizing Voltage with 3D animations,Physics Videos by Eugene Khutoryansky,DONE
Antenna Arrays and Beamforming,Antenna Arrays,All About Electronics,DONE
Skin Effect,Skin Effect,All About Electronics,DONE
S-Parameters (Scattering Parameters),S-Parameters,All About Electronics,DONE
Amplitude Modulation (AM),Amplitude Modulation,Neso Academy,DONE
Frequency Modulation (FM),Frequency Modulation,Neso Academy,DONE
Pulse Code Modulation (PCM),Pulse Code Modulation,Neso Academy,DONE
Phase Shift Keying (PSK),Phase Shift Keying PSK,Iain Explains Signals,DONE
Quadrature Amplitude Modulation (QAM),Quadrature Amplitude Modulation QAM,Iain Explains Signals,DONE
Eye Diagrams,Eye Diagrams,Iain Explains Signals,DONE
Shannon Capacity Theorem,Shannon Channel Capacity,Neso Academy,DONE
Hamming Codes (Error Correction),Hamming Codes,3Blue1Brown,DONE
Three-Phase Power Systems,Three Phase Electricity,The Engineering Mindset,DONE
Transformers,Transformers,The Engineering Mindset,DONE
Buck Converters,Buck Converter,All About Electronics,DONE
Boost Converters,Boost Converter,All About Electronics,DONE
Inverters (DC to AC),Inverters,The Engineering Mindset,DONE
Induction Motors,Induction Motor,The Engineering Mindset,DONE
Synchronous Motors,Synchronous Motor,The Engineering Mindset,DONE
Stoichiometry and Limiting Reactants,Stoichiometry,The Organic Chemistry Tutor,DONE
VSEPR Theory and Molecular Geometry,VSEPR Theory,Professor Dave Explains,DONE
Valence Bond Theory and Hybridization,Valence Bond Theory & Hybrid Atomic Orbitals,The Organic Chemistry Tutor,DONE
Molecular Orbital Theory,Molecular Orbital Theory,Professor Dave Explains,DONE
Bohr Model of the Atom,Bohr Model,The Organic Chemistry Tutor,DONE
Quantum Numbers,Quantum Numbers,The Organic Chemistry Tutor,DONE
Electron Configuration,Electron Configuration,The Organic Chemistry Tutor,DONE
Reaction Rates and Rate Laws,Rate Laws,The Organic Chemistry Tutor,DONE
ICE Tables and Chemical Equilibrium,ICE Tables,The Organic Chemistry Tutor,DONE
Le Chatelier's Principle,Le Chatelier's Principle,The Organic Chemistry Tutor,DONE
Acid-Base Titration Curves,Titration Curves,The Organic Chemistry Tutor,DONE
Buffer Solutions,Buffer Solutions,The Organic Chemistry Tutor,DONE
Galvanic Cells and Electrochemistry,Galvanic Cells,The Organic Chemistry Tutor,DONE
The Nernst Equation,Nernst Equation,The Organic Chemistry Tutor,DONE
Intermolecular Forces,Intermolecular Forces,The Organic Chemistry Tutor,DONE
IUPAC Nomenclature of Organic Compounds,IUPAC Nomenclature,The Organic Chemistry Tutor,DONE
Stereochemistry and R/S Configuration,Stereochemistry R/S,The Organic Chemistry Tutor,DONE
Enantiomers and Diastereomers,Enantiomers Diastereomers,The Organic Chemistry Tutor,DONE
SN1 and SN2 Reaction Mechanisms,SN1 SN2 Mechanisms,The Organic Chemistry Tutor,DONE
E1 and E2 Elimination Reactions,E1 E2 Reactions,The Organic Chemistry Tutor,DONE
Electrophilic Addition to Alkenes,Electrophilic Addition,The Organic Chemistry Tutor,DONE
Ozonolysis of Alkenes and Alkynes,Ozonolysis,The Organic Chemistry Tutor,DONE
Electrophilic Aromatic Substitution (EAS),Electrophilic Aromatic Substitution,The Organic Chemistry Tutor,DONE
Friedel-Crafts Alkylation and Acylation,Friedel Crafts Alkylation and Acylation Reaction Mechanism - Electrophilic Aromatic Substitution,The Organic Chemistry Tutor,DONE
The Diels-Alder Reaction,Diels-Alder Reaction,Professor Dave Explains,DONE
Grignard Reagents and Organolithiums,Grignard Reagents,The Organic Chemistry Tutor,DONE
Aldol Condensation Mechanism,Aldol Condensation,The Organic Chemistry Tutor,DONE
Claisen Condensation,Claisen Condensation,The Organic Chemistry Tutor,DONE
Enolates and Alpha Halogenation,Enolates,The Organic Chemistry Tutor,DONE
Nucleophilic Acyl Substitution,Nucleophilic Acyl Substitution,The Organic Chemistry Tutor,DONE
Retrosynthetic Analysis,Retrosynthetic Analysis,Professor Dave Explains,DONE
The Wittig Reaction,Wittig Reaction,The Organic Chemistry Tutor,DONE
Gabriel Synthesis,Gabriel Synthesis,The Organic Chemistry Tutor,DONE
Hofmann Rearrangement,Hofmann Rearrangement,The Organic Chemistry Tutor,DONE
Robinson Annulation,Robinson Annulation,The Organic Chemistry Tutor,DONE
1H NMR Spectroscopy,1H NMR Spectroscopy,The Organic Chemistry Tutor,DONE
13C NMR Spectroscopy,13C NMR Spectroscopy,The Organic Chemistry Tutor,DONE
Infrared (IR) Spectroscopy,IR Spectroscopy,The Organic Chemistry Tutor,DONE
Mass Spectrometry,Mass Spectrometry,The Organic Chemistry Tutor,DONE
First Law of Thermodynamics (Chemistry),First Law of Thermodynamics Chemistry,TMP Chem,DONE
Second and Third Laws of Thermodynamics (Chemistry),Chemical Thermodynamics 4.0 - 2nd Law / Entropy Review (Old Version),TMP Chem,DONE
Chemical Potential and Fugacity,Chemical Potential,TMP Chem,DONE
Phase Diagrams and the Phase Rule,Phase Rule,TMP Chem,DONE
Arrhenius Equation and Collision Theory,Collision Theory,TMP Chem,DONE
Transition State Theory,Transition State Theory,TMP Chem,DONE
Particle in a 1D Box (Quantum Chemistry),Particle in a 1D Box,TMP Chem,DONE
Quantum Harmonic Oscillator (Chemistry),Harmonic Oscillator Quantum Chemistry,TMP Chem,DONE
The Rigid Rotor,Rigid Rotor,TMP Chem,DONE
Hydrogen Atom Wavefunctions,Hydrogen Atom Quantum Mechanics,TMP Chem,DONE
Atomic Term Symbols,Atomic Term Symbols,TMP Chem,DONE
Huckel Molecular Orbital Theory,Huckel Theory,TMP Chem,DONE
Rotational Spectroscopy,Rotational Spectroscopy,TMP Chem,DONE
Vibrational (IR) Spectroscopy Theory,Vibrational Spectroscopy,TMP Chem,DONE
Electronic (UV-Vis) Spectroscopy Theory,Electronic Spectroscopy,TMP Chem,DONE
Franck-Condon Principle,Franck-Condon Principle,TMP Chem,DONE
Statistical Thermodynamics Partition Function,Partition Function Chemistry,TMP Chem,DONE
Coordination Chemistry and Ligands,Coordination Chemistry,Professor Dave Explains,DONE
Crystal Field Theory,Crystal Field Theory,Professor Dave Explains,DONE
Ligand Field Theory,Ligand Field Theory,Professor Dave Explains,DONE
Point Groups and Molecular Symmetry,Point Groups Chemistry,TMP Chem,DONE
Character Tables and Group Theory,Character Tables Chemistry,TMP Chem,DONE
Jahn-Teller Effect,Jahn-Teller Effect,Professor Dave Explains,DONE
Transition Metal Complexes,Transition Metal Complexes,Professor Dave Explains,DONE
The 18-Electron Rule,18-Electron Rule,Professor Dave Explains,DONE
Oxidative Addition and Reductive Elimination,Oxidative Addition,Professor Dave Explains,DONE
Migratory Insertion,Migratory Insertion,Professor Dave Explains,DONE
Zeigler-Natta Polymerization,Zeigler-Natta Catalysts,Professor Dave Explains,DONE
Hard and Soft Acids and Bases (HSAB Theory),HSAB Theory,Professor Dave Explains,DONE
Boranes and Wade's Rules,Wade's Rules,Inorganic Chemistry,DONE
High-Performance Liquid Chromatography (HPLC),HPLC Chromatography,Professor Dave Explains,DONE
Gas Chromatography (GC),Gas chromatography | GC,Quick Biochemistry Basics,DONE
Capillary Electrophoresis,Capillary Electrophoresis,Professor Dave Explains,DONE
Cyclic Voltammetry,Introduction to Cyclic Voltammetry,"Pine Research Instrumentation, Inc.",DONE
Potentiometry and Ion-Selective Electrodes,Potentiometry,Chemistry,DONE
Inductively Coupled Plasma (ICP),ICP Spectroscopy,Chemistry,DONE
Matrix Effects and Internal Standards,Internal standards,Robyn Goacher,DONE
Scanning Electron Microscopy (SEM),Scanning Electron Microscopy,Chemistry,DONE
Amino Acids and Isoelectric Point,Amino Acids Isoelectric Point,Ninja Nerd,DONE
Protein Structure (Primary to Quaternary),Protein Structure,Ninja Nerd,DONE
Michaelis-Menten Kinetics,Michaelis Menten Kinetics,Ninja Nerd,DONE
Lineweaver-Burk Plots,Biochemistry | Michaelis-Menten & Lineweaver-Burk Plot,Ninja Nerd,DONE
Enzyme Inhibition,Biochemistry | Enzyme Inhibition,Ninja Nerd,DONE
Glycolysis Pathway and Regulation,Metabolism | Glycolysis,Ninja Nerd,DONE
The Krebs Cycle (Citric Acid Cycle),Metabolism | The Krebs Cycle,Ninja Nerd,DONE
Electron Transport Chain and Oxidative Phosphorylation,Metabolism | Electron Transport Chain: DETAILED | Part 1,Ninja Nerd,DONE
Gluconeogenesis,Gluconeogenesis,Ninja Nerd,DONE
Fatty Acid Oxidation (Beta Oxidation),Metabolism | Fatty Acid Oxidation: Part 1,Ninja Nerd,DONE
DNA Replication Mechanism,Cell Biology | DNA Replication 🧬,Ninja Nerd,DONE
Transcription and Translation,Cell Biology | DNA Transcription 🧬,Ninja Nerd,DONE
Prokaryotic vs Eukaryotic Cells,Prokaryotic Eukaryotic Cells,Bozeman Science,DONE
Cell Membrane Structure and Lipid Bilayer,Cell Membrane Structure & Function,Ninja Nerd,DONE
Passive and Active Transport,Cell Biology | Passive & Active Transport | Endocytosis & Exocytosis,Ninja Nerd,DONE
Sodium-Potassium Pump,"Neurology | Resting Membrane, Graded, Action Potentials",Ninja Nerd,DONE
G-Protein Coupled Receptors (GPCRs),Endocrinology | Receptor Pathways,Ninja Nerd,DONE
Receptor Tyrosine Kinases (RTKs),Endocrinology | Receptor Pathways,Ninja Nerd,DONE
Second Messengers (cAMP and IP3/DAG),Endocrinology | Receptor Pathways,Ninja Nerd,DONE
Apoptosis (Programmed Cell Death),Programmed Cell Death (apoptosis),Shomu's Biology,DONE
The Cell Cycle and Cyclins/CDKs,"Cell Cycle, Mitosis and Meiosis",Bozeman Science,DONE
Mitosis and Cytokinesis,Mitosis,Bozeman Science,DONE
Meiosis and Genetic Crossing Over,Meiosis,Bozeman Science,DONE
Photosynthesis: The Light-Dependent Reactions,Photosynthesis,Bozeman Science,DONE
The Calvin Cycle,Photosynthesis,Bozeman Science,DONE
Mendelian Genetics and Punnett Squares,Genetics,Bozeman Science,DONE
Non-Mendelian Genetics,Chromosomal Genetics,Bozeman Science,DONE
Pedigree Analysis,Pedigree Analysis - Part 1: Autosomal Inheritance Patterns,AMBOSS: Medical Knowledge Distilled,DONE
Linked Genes and Recombination Frequency,Linked Genes,Bozeman Science,DONE
DNA Structure and Packaging,Introduction to Nucleic Acids,Andrey K,DONE
Telomeres and Telomerase,What is telomere?,Shomu's Biology,DONE
DNA Repair Mechanisms,Mismatch repair,Shomu's Biology,DONE
Prokaryotic vs Eukaryotic Transcription,Promoter and Termination Sites of Transcription,Andrey K,DONE
RNA Splicing and Spliceosomes,RNA splicing and processing | RNA splicing mechanism | spliceosome,Shomu's Biology,DONE
Translation (Ribosomes and tRNA),The Central Dogma: Transcription and Translation,Bozeman Science,DONE
The Lac Operon,Gene Regulation,Bozeman Science,DONE
The Trp Operon,Operon,Bozeman Science,DONE
Epigenetics and DNA Methylation,Histone acetylation and methylation,Shomu's Biology,DONE
CRISPR-Cas9 Mechanism,What is CRISPR?,Bozeman Science,DONE
Polymerase Chain Reaction (PCR),PCR (Polymerase Chain Reaction),Amoeba Sisters,DONE
Sanger Sequencing,Sanger sequencing method - dideoxy sequencing of DNA,Shomu's Biology,DONE
Recombinant DNA and Plasmids,Plasmids and Recombinant DNA Technology,Andrey K,DONE
Southern Northern and Western Blotting,Difference between Southern and northern blotting and western blotting,Shomu's Biology,DONE
Resting Membrane Potential,"Neurology | Resting Membrane, Graded, Action Potentials",Ninja Nerd,DONE
Action Potentials,"Neurology | Resting Membrane, Graded, Action Potentials",Ninja Nerd,DONE
Synaptic Transmission and Neurotransmitters,Neurology | Neuron Anatomy & Function,Ninja Nerd,DONE
The Autonomic Nervous System,Neurology | Autonomic Nervous System,Ninja Nerd,DONE
Sarcomeres and the Sliding Filament Theory,Musculoskeletal System | Neuromuscular Junction | Sliding Filament Theory: Part 3,Ninja Nerd,DONE
Neuromuscular Junction,Musculoskeletal System | Neuromuscular Junction | Neuromuscular Transmission: Part 1,Ninja Nerd,DONE
The Cardiac Cycle (Wiggers Diagram),Cardiovascular | Cardiac Cycle,Ninja Nerd,DONE
Electrocardiogram (EKG/ECG) Basics,ECG Basics | How to Read & Interpret ECGs: Updated Lecture,Ninja Nerd,DONE
Cardiac Output and Frank-Starling Law,Cardiovascular | Cardiac Output,Ninja Nerd,DONE
Hemoglobin and the Oxygen Dissociation Curve,Respiratory | Oxygen-Hemoglobin Dissociation Curve,Ninja Nerd,DONE
The Bohr and Haldane Effects,Respiratory | Oxygen-Hemoglobin Dissociation Curve,Ninja Nerd,DONE
Renal Anatomy and the Nephron,Renal | Kidney Anatomy Model,Ninja Nerd,DONE
Glomerular Filtration Rate (GFR),Renal | Glomerular Filtration,Ninja Nerd,DONE
The Countercurrent Multiplier System,Renal | Loop of Henle,Ninja Nerd,DONE
Renin-Angiotensin-Aldosterone System (RAAS),Acid-Base Disorders | Clinical Medicine,Ninja Nerd,DONE
Hypothalamic-Pituitary Axis,Endocrinology | Hypothalamus: Anterior Pituitary Connection,Ninja Nerd,DONE
Insulin and Glucagon Signaling,Endocrinology | Pancreas: Insulin Function,Ninja Nerd,DONE
Innate vs Adaptive Immunity,Immunology | Immune System: Overview,Ninja Nerd,DONE
Phagocytosis and Macrophages,Immunology | Inflammation: Cellular Events: Part 2,Ninja Nerd,DONE
MHC Class I and II,Immunology | Inflammation: Vascular Events: Part 1,Ninja Nerd,DONE
T-Cell Activation (CD4 and CD8),Immunology | T- Cell Development,Ninja Nerd,DONE
B-Cell Activation and Antibodies,Immunology | Immune System: Overview,Ninja Nerd,DONE
The Complement System,Immunology | Inflammation: Complement Proteins: Part 3,Ninja Nerd,DONE
Female Reproductive Cycle,Female Reproductive Cycle | Ovulation,Ninja Nerd,DONE
Gastrointestinal Digestion and Absorption,Gastrointestinal | Digestion & Absorption of Carbohydrates,Ninja Nerd,DONE
Gram Positive vs Gram Negative Bacteria,Bacteria | Structure and Function,Ninja Nerd,DONE
Bacterial Growth Curve,"Bacterial growth curve | log phase, lag phase, stationary phase | microbial growth curve",Shomu's Biology,DONE
Bacterial Conjugation Transformation and Transduction,"Horizontal gene transfer | Transformation, Transduction and Conjugation",Shomu's Biology,DONE
The Lytic and Lysogenic Viral Cycles,Viral Replication,Bozeman Science,DONE
Retroviruses and Reverse Transcriptase (HIV),"Antivirals | HIV, Hepatitis, Influenza, Herpes Treatment",Ninja Nerd,DONE
Antibiotic Resistance Mechanisms,Antibiotic resistance क्या होता है | Antibiotic resistance in hindi ज्यादा antibiotic खाने से नुकसान,Shomu's Biology,DONE
The Human Microbiome,How Bacteria Rule Over Your Body – The Microbiome,Kurzgesagt – In a Nutshell,DONE
Fungi and Dimorphism,Introduction to Mycology,Professor Dave Explains,DONE
Prions and Protein Misfolding Diseases,Prion protein and prion disease,Shomu's Biology,DONE
Endospore Formation,Endospore formation in bacteria animation,Shomu's Biology,DONE
Natural Selection and Fitness,Unit 1 Review - Natural Selection,Bozeman Science,DONE
Genetic Drift (Founder and Bottleneck Effects),Genetic Drift,Bozeman Science,DONE
Speciation (Allopatric and Sympatric),Speciation,Bozeman Science,DONE
Cladograms and Phylogenetic Trees,Cladograms,Bozeman Science,DONE
The Endosymbiotic Theory,Endosymbiosis,Bozeman Science,DONE
Population Dynamics and Carrying Capacity,Population Ecology,Bozeman Science,DONE
r-selected vs K-selected Species,r and K selection,Bozeman Science,DONE
Lotka-Volterra Predator-Prey Model,Lotka Volterra model | competition model and predator prey model with equation,Shomu's Biology,DONE
Ecological Succession,Ecological Succession,Bozeman Science,DONE
The Nitrogen Cycle,Biogeochemical Cycles,Bozeman Science,DONE
The Carbon Cycle,Biogeochemical Cycles,Bozeman Science,DONE
Energy Flow and Trophic Levels,Energy Flow in Ecosystems,Bozeman Science,DONE
Keystone Species and Trophic Cascades,Keystone species,Shomu's Biology,DONE
Palladium-Catalyzed Cross-Couplings (Suzuki Heck Stille),Introduction to C-C Cross-Coupling: The Suzuki-Miyaura Reaction,Professor Dave Explains,DONE
Pericyclic Reactions and Woodward-Hoffmann Rules,Pericyclic Reactions Part 1: Revisiting the Diels-Alder Reaction,Professor Dave Explains,DONE
Sharpless Asymmetric Epoxidation,Sharpless Epoxidation Mechanism | Detailed Review,Organic Chemistry with Victor,DONE
Solid-Phase Peptide Synthesis,Solid phase peptide synthesis,HM Chemistry,DONE
2D NMR Spectroscopy (COSY and NOESY),2D NMR Analysis - H-H COSY NMR,Tony St John,DONE
X-ray Photoelectron Spectroscopy (XPS),X ray Photoelectron Spectroscopy,Engineering Physics by Sanjiv,DONE
Debye-Hückel Theory of Electrolytes,Chemical Thermodynamics 9.7 - Debye-Huckel Law (Old Version),TMP Chem,DONE
Marcus Theory of Electron Transfer,5.6 Marcus Theory I,Michael Evans,DONE
Bioinorganic Chemistry (Metalloenzymes),Oxygen Transport & Storage System | Myoglobin |Hemoglobin | Hemerythrin | Hemocyanin | Bioinorganic,SP Chemistry Classes,DONE
Embryonic Cleavage and Gastrulation,Embryology | Gastrulation,Ninja Nerd,DONE
Neurulation and the Neural Tube,"Embryology | Neurulation, Vesiculation, Neural Crest Cell Migration",Ninja Nerd,DONE
Hox Genes and Body Patterning,Development: Timing and Coordination,Bozeman Science,DONE
Sonic Hedgehog (Shh) Signaling Pathway,Hedgehog signaling pathway | Sonic Hedgehog protein Hh,Shomu's Biology,DONE
Stem Cells and Induced Pluripotency (iPSCs),Totipotent pluripotent multipotent stem cells | Embryonic stem cells | Totipotent vs pluripotent,Shomu's Biology,DONE
Next-Generation Sequencing (Illumina),Illumina sequencing | DNA sequencing by synthesis,Shomu's Biology,DONE
Genome-Wide Association Studies (GWAS),"Genome-Wide Association Studies (GWAS), Part 1",Biology For All,DONE
V(D)J Recombination and Antibody Diversity,VDJ recombination | antibody class switching,Shomu's Biology,DONE
Hypersensitivity Reactions (Types I-IV),Hypersensitivity by Priyanka Sachdev Ma'am : Unraveling Mechanisms and Clinical Insights,MedLive By Dr. Priyanka,DONE
Tumor Immunology and Immune Evasion,Tumour immunology and immunotherapy,nature video,DONE
Phototransduction Cascade (Vision),Special Senses | The Phototransduction Cascade,Ninja Nerd,DONE
Plant Hormones (Auxin and Gibberellins),Plant Control,Bozeman Science,DONE
Arrays vs Linked Lists,2.3 Arrays vs Linked List | Data structures,Jenny's Lectures CS IT,DONE
Stack and Queue Implementation,3.1 Stack in Data Structure | Introduction to Stack | Data Structures Tutorials,Jenny's Lectures CS IT,DONE
AVL Trees,10.1 AVL Tree - Insertion and Rotations,Abdul Bari,DONE
Red-Black Trees,006 Creating Red Black Tree similar to Creating 2 3 4 Tree,Thành Nguyễn,DONE
B-Trees and B+ Trees,10.2  B Trees and B+ Trees. How they are useful in Databases,Abdul Bari,DONE
Hash Tables and Collisions,Hashing Technique - Simplified,Abdul Bari,DONE
Min and Max Heaps,2.6.3 Heap - Heap Sort - Heapify - Priority Queues,Abdul Bari,DONE
Graph Representations (Adjacency Matrix/List),1.12 Disjoint Sets Data Structure - Weighted Union and Collapsing Find,Abdul Bari,DONE
Big O Notation and Time Complexity,1.5.1 Time Complexity #1,Abdul Bari,DONE
Merge Sort and Quick Sort,2.8.1  QuickSort Algorithm,Abdul Bari,DONE
Dijkstra's Shortest Path Algorithm,3.6 Dijkstra Algorithm - Single Source Shortest Path - Greedy Method,Abdul Bari,DONE
Bellman-Ford Algorithm,4.4 Bellman Ford Algorithm - Single Source Shortest Path - Dynamic Programming,Abdul Bari,DONE
Floyd-Warshall Algorithm,4.2 All Pairs Shortest Path (Floyd-Warshall) - Dynamic Programming,Abdul Bari,DONE
Kruskal's Minimum Spanning Tree,3.5 Prims and Kruskals Algorithms - Greedy Method,Abdul Bari,DONE
Prim's Algorithm,3.5 Prims and Kruskals Algorithms - Greedy Method,Abdul Bari,DONE
A* Search Algorithm,A* (A Star) Search Algorithm - Computerphile,Computerphile,DONE
Dynamic Programming (0/1 Knapsack),4.5 0/1 Knapsack - Two Methods - Dynamic Programming,Abdul Bari,DONE
Longest Common Subsequence,4.9 Longest Common Subsequence (LCS)  - Recursion and Dynamic Programming,Abdul Bari,DONE
Matrix Chain Multiplication,4.3 Matrix Chain Multiplication - Dynamic Programming,Abdul Bari,DONE
Process vs Thread,Process Management (Processes and Threads),Neso Academy,DONE
CPU Scheduling Algorithms,Introduction to CPU Scheduling,Neso Academy,DONE
Mutex and Semaphores,Semaphores,Neso Academy,DONE
Producer-Consumer Problem,Process Synchronization,Neso Academy,DONE
Deadlock Avoidance (Banker's Algorithm),Lec23 Deadlock Avoidance: Banker's Algorithm with example | Operating System,Jenny's Lectures CS IT,DONE
Paging and Segmentation,Introduction to Operating Systems,Neso Academy,DONE
Virtual Memory and Page Replacement,Paging in Operating Systems with Example & Working - Memory Management,Simple Snippets,DONE
Thrashing in OS,Introduction to Operating Systems,Neso Academy,DONE
File System Allocation Methods,Introduction to Operating Systems,Neso Academy,DONE
The OSI Model,The OSI Reference Model (Part 1),Neso Academy,DONE
TCP vs UDP,TCP vs UDP Comparison,PowerCert Animated Videos,DONE
IPv4 and Subnetting,Subnetting,Neso Academy,DONE
ARP and MAC Addresses,ARP - Address Resolution Protocol in Computer Networks,Engineering Funda,DONE
OSPF Routing Protocol,Demystifying OSPF: How It Works and Connects Devices in Your Network,Network Direction,DONE
TCP Congestion Control,CN 25 : TCP Congestion Control with Example,CS & IT Tutorials by Vrushali 👩‍🎓,DONE
DNS Architecture,DNS is beautiful,Hussein Nasser,DONE
HTTP and HTTPS Protocols,What are web servers and how do they work (with examples httpd and nodejs),Hussein Nasser,DONE
Relational Algebra,Basics of Relational Algebra,Neso Academy,DONE
SQL Joins Explained,"SQL Joins Basics (Visually Explained) | INNER, LEFT, RIGHT, FULL | #SQL Course 8",Data with Baraa,DONE
Database Normalization (1NF to BCNF),Lec 1:  Introduction to DBMS | Database Management System,Jenny's Lectures CS IT,DONE
ACID Properties in Databases,Relational Database ACID Transactions (Explained by Example),Hussein Nasser,DONE
Database Indexing and B-Trees,Database Indexing Explained (with PostgreSQL),Hussein Nasser,DONE
Database Sharding and Partitioning,When should you shard your database?,Hussein Nasser,DONE
PostgreSQL Architecture,PostgreSQL Internal Architecture Explained,Hussein Nasser,DONE
Finite Automata (DFA and NFA),Deterministic Finite Automata (Example 1),Neso Academy,DONE
Context-Free Grammars,Derivations of CFGs,Neso Academy,DONE
Pushdown Automata,Pushdown Automata (Introduction),Neso Academy,DONE
Turing Machines,Turing Machine - Introduction (Part 1),Neso Academy,DONE
The P vs NP Problem,Biggest Puzzle in Computer Science: P vs. NP,Quanta Magazine,DONE
The Halting Problem,Turing & The Halting Problem - Computerphile,Computerphile,DONE
The CAP Theorem,CAP Theorem Simplified,ByteByteGo,DONE
Consistent Hashing,Consistent Hashing | Algorithms You Should Know #1,ByteByteGo,DONE
The Paxos Consensus Algorithm,The Paxos Algorithm,Google TechTalks,DONE
The Raft Consensus Algorithm,Understand RAFT without breaking your brain,ankush,DONE
Vector Clocks and Logical Time,Vector Clock 🔥🔥,Perfect Computer Engineer,DONE
MapReduce Architecture,Map Reduce explained with example | System Design,ByteMonk,DONE
Distributed Transactions (Two-Phase Commit),Distributed Transactions are Hard (How Two-Phase Commit works),Hussein Nasser,DONE
Apache Kafka Architecture,What is Kafka and How does it work?,Hussein Nasser,DONE
Redis Architecture and Caching,Redis In-Memory Database Crash Course,Hussein Nasser,DONE
Microservices vs Monolithic Architecture,What Are Microservices Really All About? (And When Not To Use It),ByteByteGo,DONE
Bloom Filters,Bloom Filters | Algorithms You Should Know #2 | Real-world Examples,ByteByteGo,DONE
